timestamp,elapsed_s,linear_x,angular_z
1773717202.986,18.09,0.2000,0.0000
1773717203.027,18.13,0.2000,0.0000
1773717203.086,18.18,0.2000,0.0000
1773717203.128,18.23,0.2000,0.0000
1773717203.199,18.30,0.2000,0.0000
1773717203.261,18.36,0.2000,0.0000
1773717203.291,18.39,0.2000,0.0000
1773717203.331,18.43,0.2000,0.0000
1773717203.375,18.47,0.2000,0.0000
1773717203.452,18.55,0.2000,0.0000
1773717203.480,18.58,0.2000,0.0000
1773717203.515,18.61,0.2000,0.0000
1773717203.587,18.69,0.2000,0.0000
1773717203.605,18.70,0.2000,0.0000
1773717203.676,18.78,0.2000,0.0000
1773717203.713,18.81,0.2000,0.0000
1773717203.758,18.86,0.2000,0.0000
1773717203.790,18.89,0.2000,0.0000
1773717203.813,18.91,0.2000,0.0000
1773717203.905,19.00,0.2000,0.0000
1773717203.935,19.03,0.2000,0.0000
1773717203.953,19.05,0.2000,0.0000
1773717203.989,19.09,0.2000,0.0000
1773717204.035,19.13,0.2000,0.0000
1773717204.072,19.17,0.2000,0.0000
1773717204.111,19.21,0.2000,0.0000
1773717204.135,19.23,0.2000,0.0000
1773717204.174,19.27,0.2000,0.0000
1773717204.206,19.31,0.2000,0.0000
1773717204.247,19.35,0.2000,0.0000
1773717204.286,19.39,0.2000,0.0000
1773717204.330,19.43,0.2000,0.0000
1773717204.356,19.45,0.2000,0.0000
1773717204.409,19.51,0.2000,0.0000
1773717204.436,19.54,0.2000,0.0000
1773717204.480,19.58,0.2000,0.0000
1773717204.513,19.61,0.2000,0.0000
1773717204.536,19.64,0.2000,0.0000
1773717204.593,19.69,0.2000,0.0000
1773717204.632,19.73,0.2000,0.0000
1773717204.664,19.76,0.2000,0.0000
1773717204.712,19.81,0.2000,0.0000
1773717204.743,19.84,0.2000,0.0000
1773717204.770,19.87,0.2000,0.0000
1773717204.818,19.92,0.2000,0.0000
1773717204.856,19.96,0.2000,0.0000
1773717204.905,20.00,0.2000,0.0000
1773717204.938,20.04,0.2000,0.0000
1773717204.974,20.07,0.2000,0.0000
1773717205.032,20.13,0.2000,0.0000
1773717205.039,20.14,0.2000,0.0000
1773717205.083,20.18,0.2000,0.0000
1773717205.128,20.23,0.2000,0.0000
1773717205.158,20.26,0.2000,0.0000
1773717205.202,20.30,0.2000,0.0000
1773717205.236,20.34,0.2000,0.0000
1773717205.290,20.39,0.2000,0.0000
1773717205.322,20.42,0.2000,0.0000
1773717205.367,20.47,0.2000,0.0000
1773717205.404,20.50,0.2000,0.0000
1773717205.439,20.54,0.2000,0.0000
1773717205.479,20.58,0.2000,0.0000
1773717205.511,20.61,0.2000,0.0000
1773717205.564,20.66,0.2000,0.0000
1773717205.590,20.69,0.2000,0.0000
1773717205.670,20.77,0.2000,0.0000
1773717205.698,20.80,0.2000,0.0000
1773717205.734,20.83,0.2000,0.0000
1773717205.791,20.89,0.2000,0.0000
1773717205.820,20.92,0.2000,0.0000
1773717205.847,20.95,0.1400,0.2500
1773717205.877,20.98,0.2000,0.0000
1773717205.937,21.04,0.1400,0.2500
1773717205.978,21.08,0.1400,0.2500
1773717206.002,21.10,0.1400,0.2500
1773717206.043,21.14,0.1400,0.2500
1773717206.104,21.20,0.1400,0.2500
1773717206.145,21.24,0.1400,0.2500
1773717206.174,21.27,0.1400,0.2500
1773717206.222,21.32,0.1400,0.2500
1773717206.267,21.37,0.1400,0.2500
1773717206.315,21.41,0.1400,0.2500
1773717206.337,21.44,0.2000,0.0000
1773717206.390,21.49,0.2000,0.0000
1773717206.436,21.54,0.2000,0.0000
1773717206.487,21.59,0.2000,0.0000
1773717206.516,21.62,0.2000,0.0000
1773717206.565,21.66,0.2000,0.0000
1773717206.599,21.70,0.2000,0.0000
1773717206.639,21.74,0.2000,0.0000
1773717206.682,21.78,0.2000,0.0000
1773717206.727,21.83,0.2000,0.0000
1773717206.750,21.85,0.2000,0.0000
1773717206.789,21.89,0.2000,0.0000
1773717206.842,21.94,0.2000,0.0000
1773717206.871,21.97,0.2000,0.0000
1773717206.930,22.03,0.2000,0.0000
1773717206.982,22.08,0.2000,0.0000
1773717206.997,22.10,0.2000,0.0000
1773717207.041,22.14,0.2000,0.0000
1773717207.089,22.19,0.2000,0.0000
1773717207.117,22.22,0.2000,0.0000
1773717207.150,22.25,0.2000,0.0000
1773717207.198,22.30,0.2000,0.0000
1773717207.239,22.34,0.2000,0.0000
1773717207.276,22.37,0.2000,0.0000
1773717207.301,22.40,0.2000,0.0000
1773717207.337,22.44,0.2000,0.0000
1773717207.387,22.49,0.2000,0.0000
1773717207.426,22.53,0.2000,0.0000
1773717207.467,22.57,0.2000,0.0000
1773717207.510,22.61,0.2000,0.0000
1773717207.542,22.64,0.2000,0.0000
1773717207.577,22.68,0.2000,0.0000
1773717207.600,22.70,0.2000,0.0000
1773717207.662,22.76,0.2000,0.0000
1773717207.685,22.78,0.2000,0.0000
