timestamp,elapsed_s,num_detections,det_classes,det_confidences,det_areas,det_center_xs,det_center_ys
1773717239.185,54.28,0,,,,,
1773717239.227,54.33,0,,,,,
1773717239.277,54.38,0,,,,,
1773717239.314,54.41,0,,,,,
1773717239.363,54.46,0,,,,,
1773717239.399,54.50,0,,,,,
1773717239.443,54.54,0,,,,,
1773717239.479,54.58,0,,,,,
1773717239.534,54.63,0,,,,,
1773717239.552,54.65,0,,,,,
1773717239.598,54.70,0,,,,,
1773717239.641,54.74,0,,,,,
1773717239.665,54.76,0,,,,,
1773717239.714,54.81,0,,,,,
1773717239.758,54.86,0,,,,,
1773717239.806,54.91,0,,,,,
1773717239.848,54.95,0,,,,,
1773717239.878,54.98,0,,,,,
1773717239.925,55.02,0,,,,,
1773717239.956,55.06,0,,,,,
1773717239.984,55.08,0,,,,,
1773717240.069,55.17,0,,,,,
1773717240.105,55.20,0,,,,,
1773717240.136,55.24,0,,,,,
1773717240.190,55.29,0,,,,,
1773717240.228,55.33,0,,,,,
1773717240.288,55.39,0,,,,,
1773717240.320,55.42,0,,,,,
1773717240.359,55.46,0,,,,,
1773717240.434,55.53,0,,,,,
1773717240.450,55.55,0,,,,,
1773717240.483,55.58,0,,,,,
1773717240.524,55.62,0,,,,,
1773717240.571,55.67,0,,,,,
1773717240.616,55.71,0,,,,,
1773717240.671,55.77,0,,,,,
1773717240.720,55.82,0,,,,,
1773717240.757,55.86,0,,,,,
1773717240.818,55.92,0,,,,,
1773717240.850,55.95,0,,,,,
1773717240.894,55.99,0,,,,,
1773717240.949,56.05,0,,,,,
1773717240.998,56.10,0,,,,,
1773717241.036,56.14,0,,,,,
1773717241.074,56.17,0,,,,,
1773717241.121,56.22,0,,,,,
1773717241.164,56.26,0,,,,,
1773717241.209,56.31,0,,,,,
1773717241.240,56.34,0,,,,,
1773717241.293,56.39,0,,,,,
1773717241.330,56.43,0,,,,,
1773717241.352,56.45,0,,,,,
1773717241.403,56.50,0,,,,,
1773717241.444,56.54,0,,,,,
1773717241.474,56.57,0,,,,,
1773717241.511,56.61,0,,,,,
1773717241.555,56.65,0,,,,,
1773717241.579,56.68,0,,,,,
1773717241.611,56.71,0,,,,,
1773717241.642,56.74,0,,,,,
1773717241.698,56.80,0,,,,,
1773717241.741,56.84,0,,,,,
1773717241.773,56.87,0,,,,,
1773717241.826,56.93,0,,,,,
1773717241.847,56.95,0,,,,,
1773717241.884,56.98,0,,,,,
1773717241.926,57.02,0,,,,,
1773717241.964,57.06,0,,,,,
1773717241.994,57.09,0,,,,,
1773717242.084,57.18,0,,,,,
1773717242.136,57.24,0,,,,,
1773717242.176,57.27,0,,,,,
1773717242.196,57.29,0,,,,,
1773717242.282,57.38,0,,,,,
1773717242.296,57.40,0,,,,,
1773717242.336,57.44,0,,,,,
1773717242.374,57.47,0,,,,,
1773717242.427,57.53,0,,,,,
1773717242.465,57.56,0,,,,,
1773717242.501,57.60,0,,,,,
1773717242.548,57.65,0,,,,,
1773717242.579,57.68,0,,,,,
1773717242.630,57.73,0,,,,,
1773717242.668,57.77,0,,,,,
1773717242.701,57.80,0,,,,,
1773717242.734,57.83,0,,,,,
1773717242.755,57.85,0,,,,,
1773717242.797,57.90,0,,,,,
1773717242.856,57.96,0,,,,,
1773717242.881,57.98,0,,,,,
1773717242.908,58.01,0,,,,,
1773717242.946,58.05,0,,,,,
1773717242.992,58.09,0,,,,,
1773717243.027,58.13,0,,,,,
1773717243.051,58.15,0,,,,,
1773717243.104,58.20,0,,,,,
1773717243.140,58.24,0,,,,,
1773717243.178,58.28,0,,,,,
1773717243.217,58.32,0,,,,,
1773717243.247,58.35,0,,,,,
1773717243.272,58.37,0,,,,,
1773717243.318,58.42,0,,,,,
1773717243.354,58.45,0,,,,,
1773717243.385,58.48,0,,,,,
1773717243.430,58.53,0,,,,,
1773717243.464,58.56,0,,,,,
1773717243.490,58.59,0,,,,,
1773717243.524,58.62,0,,,,,
1773717243.572,58.67,0,,,,,
1773717243.610,58.71,0,,,,,
1773717243.646,58.75,0,,,,,
1773717243.698,58.80,0,,,,,
1773717243.734,58.83,0,,,,,
1773717243.759,58.86,0,,,,,
1773717243.801,58.90,0,,,,,
1773717243.822,58.92,0,,,,,
1773717243.852,58.95,0,,,,,
1773717243.883,58.98,0,,,,,
1773717243.937,59.04,0,,,,,
1773717243.956,59.06,0,,,,,
1773717244.001,59.10,0,,,,,
1773717244.044,59.14,0,,,,,
1773717244.068,59.17,0,,,,,
1773717244.127,59.23,0,,,,,
1773717244.153,59.25,0,,,,,
1773717244.193,59.29,0,,,,,
1773717244.238,59.34,0,,,,,
1773717244.270,59.37,0,,,,,
1773717244.300,59.40,0,,,,,
1773717244.347,59.45,0,,,,,
1773717244.378,59.48,0,,,,,
1773717244.419,59.52,0,,,,,
1773717244.462,59.56,0,,,,,
1773717244.506,59.61,0,,,,,
1773717244.531,59.63,0,,,,,
1773717244.565,59.66,0,,,,,
1773717244.622,59.72,0,,,,,
1773717244.644,59.74,0,,,,,
1773717244.673,59.77,0,,,,,
1773717244.704,59.80,0,,,,,
1773717244.741,59.84,0,,,,,
1773717244.780,59.88,0,,,,,
1773717244.815,59.91,0,,,,,
1773717244.860,59.96,0,,,,,
1773717244.886,59.99,0,,,,,
1773717244.934,60.03,0,,,,,
1773717244.970,60.07,0,,,,,
1773717245.008,60.11,0,,,,,
1773717245.036,60.13,0,,,,,
1773717245.071,60.17,0,,,,,
1773717245.109,60.21,0,,,,,
1773717245.141,60.24,0,,,,,
1773717245.180,60.28,0,,,,,
1773717245.205,60.30,0,,,,,
1773717245.248,60.35,0,,,,,
1773717245.311,60.41,0,,,,,
1773717245.343,60.44,0,,,,,
1773717245.393,60.49,0,,,,,
1773717245.433,60.53,0,,,,,
1773717245.462,60.56,0,,,,,
1773717245.491,60.59,0,,,,,
1773717245.525,60.62,0,,,,,
1773717245.562,60.66,0,,,,,
1773717245.595,60.69,0,,,,,
1773717245.646,60.75,0,,,,,
1773717245.680,60.78,0,,,,,
1773717245.705,60.80,0,,,,,
1773717245.740,60.84,0,,,,,
1773717245.764,60.86,0,,,,,
